Carmen Nonay,(Program Manager until April 2015)
Catherine C. O'Farrell,Head (from May 2015)
Rajesh Advani,Senior Infrastructure Specialist
Ana Silvia Aguilera,Infrastructure Specialist
Inga Afanasieva,Infrastructure Specialist
Ricardo Arias,Senior Infrastructure Specialist
Daniel Coila,Operations Analyst
Stephanie Eskins-Gleason,Learning Specialist
Raluca Golumbeanu,Infrastructure Specialist
Sañl E. Gonzíçlez,Senior Knowledge Management Assistant
Raha Janka,Knowledge Management Specialist
Oleh P. Khalayim,Monitoring and Evaluation Officer
Hywon Cha Kim,Knowledge Management Officer
Charis Lypiridis,Infrastructure Specialist
Jessica A. Lopez,OBA/RBF Specialist
Molly McCloskey,Communications Specialist
Crane Muleya,Voice Secondee (Zambia)
Beth Wanjeri Mwangi,Resource Management Analyst
Peggy Wilhide Nasir,Senior Communications Officer
Constance Polite,Program Assistant
Juliet Pumpuni,Senior Infrastructure Specialist
Yara Salem,Senior Infrastructure Specialist
Sauda Ahmed Seinu,Voice Secondee (Ghana)
Leslie Villegas,Infrastructure Specialist
Soo Jung Yoo,Knowledge Management Specialist
Dilshod Yusupov,Knowledge Management Specialist
